Data;Energia elétrica - consumo -  quantidade - GWh - Eletrobras - ELETRO_CEET;
1952;8513;
1953;8588;
1954;9759;
1955;11289;
1956;12634;
1957;14083;
1958;16077;
1959;17162;
1960;18346;
1961;19630;
1962;21857;
1963;22618;
1964;23521;
1965;24268;
1966;26494;
1967;27988;
1968;31399;
1969;34514;
1970;38152;
1971;44846;
1972;49839;
1973;54928;
1974;61630;
1975;68180;
1976;71634,9;
1977;80804,7;
1978;90070,5;
1979;101146;
1980;112055;
1981;115402;
1982;122805;
1983;132438;
1984;148397;
1985;163015;
1986;174270;
1987;179572;
1988;188597;
1989;197185;
1990;200639;
1991;209408;
1992;212757;
1993;220648;
1994;225925;
1995;243836;
1996;257611;
1997;273281;
1998;284525;
1999;292190;
2000;307530;
2001;283259;
2002;289867;
2003;300992;
2004;317428;
2005;335917;
2006;357974;
2007;378554;
2008;392844;
2009;388611;
2010;415684;
2011;433033;
2012;448134;
2013;463068;
2014;473557;
2015;464600;
2016;460156;
2017;465039;
2018;471643;
2019;480782;
2020;473944;
2021;500209;
